Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
15,Grigor Dimitrov[BUL],64,46-18,71.9%,69.4%,69.3%,541,10.7%,234,4.6%,12.0%,61.2%,80.1%,52.4%,59.6%,87.3%,6.0,1.9,64,37.1%,38.8%,9.5%,3.3%,28.3%,51.4%,21.1%,6.6,2.5,45.0,53.2,64,37.3%,173,464,0.57,2.7,7.3,1.02,2.7,67.2%,217,323,0.39,1.9,5.0,0.62,1.7,64,1.21,10470,52.7%,35,25-10,71.4%,20.6%,170,115-55,67.6%,1652,901-751,54.5%,1:49,41.1,40.0
16,Frances Tiafoe[USA],57,32-25,56.1%,65.9%,64.4%,482,9.6%,144,2.9%,7.0%,59.0%,74.2%,54.1%,58.1%,84.0%,6.5,2.2,57,35.3%,37.5%,12.9%,4.2%,27.2%,48.8%,18.1%,6.5,2.3,58.0,67.2,57,35.2%,141,401,0.51,2.6,7.0,0.90,2.5,64.4%,224,348,0.45,2.2,6.1,0.79,2.2,57,1.04,10094,50.5%,39,20-19,51.3%,24.8%,157,85-72,54.1%,1557,793-764,50.9%,1:59,43.2,40.3
17,Andrey Rublev[RUS],69,43-26,62.3%,67.7%,66.4%,578,10.2%,182,3.2%,8.4%,61.8%,76.4%,53.6%,58.5%,86.8%,6.2,2.0,69,37.5%,39.2%,10.0%,3.7%,28.5%,51.9%,20.5%,6.6,2.5,48.5,58.6,69,35.5%,184,518,0.58,2.9,7.5,1.02,2.7,68.8%,265,385,0.42,2.1,5.6,0.67,1.7,69,1.16,11606,52.2%,37,16-21,43.2%,20.6%,180,106-74,58.9%,1805,970-835,53.7%,1:46,40.6,37.8
18,Francisco Cerundolo[ARG],66,35-31,53.0%,62.1%,62.9%,226,4.2%,201,3.8%,10.5%,64.3%,67.9%,51.7%,57.8%,77.4%,6.6,2.5,66,38.4%,38.9%,4.9%,2.5%,31.5%,50.5%,25.7%,6.5,2.5,55.5,77.9,66,43.4%,206,475,0.59,2.8,7.2,1.22,3.1,60.9%,283,465,0.58,2.8,7.0,1.08,2.8,66,1.01,10568,50.4%,33,16-17,48.5%,19.5%,169,91-78,53.8%,1609,831-778,51.6%,1:42,39.8,38.2
19,Stefanos Tsitsipas[GRE],67,45-22,67.2%,66.7%,66.3%,446,8.4%,199,3.8%,9.6%,60.8%,74.3%,54.8%,60.6%,86.4%,6.4,2.1,67,35.8%,36.5%,6.8%,2.7%,28.6%,48.0%,22.4%,6.2,2.2,44.0,69.6,67,41.5%,181,436,0.54,2.6,6.5,1.08,2.7,68.4%,245,358,0.43,2.1,5.3,0.68,1.7,67,1.07,10341,51.6%,32,18-14,56.3%,19.2%,167,105-62,62.9%,1637,896-741,54.7%,1:35,38.2,37.0
20,Tomas Machac[CZE],56,33-23,58.9%,63.2%,63.0%,281,6.3%,148,3.3%,9.2%,64.0%,69.1%,52.8%,58.1%,79.0%,6.4,2.4,56,37.6%,38.7%,8.3%,3.4%,30.1%,50.3%,24.4%,6.4,2.4,35.0,63.6,56,43.7%,170,389,0.56,2.7,6.9,1.16,3.0,59.4%,214,360,0.52,2.5,6.4,1.00,2.6,56,1.02,8916,50.5%,24,15-9,62.5%,16.4%,146,84-62,57.5%,1392,719-673,51.7%,1:40,38.3,37.6
21,Jakub Mensik[CZE],45,25-20,55.6%,63.4%,61.5%,471,12.0%,174,4.4%,11.1%,59.9%,74.1%,47.3%,53.2%,80.5%,6.7,2.5,45,35.5%,36.2%,8.5%,3.8%,27.2%,50.3%,19.5%,6.4,2.3,35.0,67.3,45,39.6%,113,285,0.49,2.2,6.3,0.89,2.5,64.8%,210,324,0.55,2.6,7.2,0.90,2.5,45,0.97,7628,49.9%,35,19-16,54.3%,27.6%,127,68-59,53.5%,1163,583-580,50.1%,1:58,41.8,41.7
22,Ugo Humbert[FRA],63,39-24,61.9%,66.8%,65.3%,434,8.6%,116,2.3%,6.4%,63.8%,73.5%,55.0%,58.8%,85.9%,6.2,2.1,63,37.0%,37.4%,7.7%,3.9%,28.7%,50.6%,22.2%,6.3,2.3,49.0,55.7,63,38.4%,177,461,0.58,2.7,7.3,1.05,2.8,66.0%,223,338,0.42,2.0,5.4,0.68,1.8,63,1.11,10093,51.9%,24,10-14,41.7%,14.2%,169,101-68,59.8%,1612,876-736,54.3%,1:52,41.9,42.1
23,Sebastian Korda[USA],50,31-19,62.0%,65.6%,63.2%,391,10.5%,87,2.3%,5.9%,60.2%,74.4%,52.3%,55.5%,82.1%,6.2,2.1,50,37.2%,37.9%,8.0%,3.8%,28.4%,51.7%,22.2%,6.5,2.4,46.0,85.0,50,38.3%,134,350,0.58,2.8,7.0,1.07,2.7,60.4%,165,273,0.45,2.2,5.5,0.86,2.2,50,1.08,7670,51.0%,26,12-14,46.2%,20.8%,125,71-54,56.8%,1206,628-578,52.1%,1:35,37.9,37.0
24,Karen Khachanov[RUS],59,37-22,62.7%,66.6%,64.6%,449,9.6%,100,2.1%,6.0%,64.3%,74.6%,52.2%,55.5%,83.2%,6.2,2.1,59,36.6%,38.2%,9.7%,3.4%,27.4%,52.2%,21.9%,6.5,2.4,47.0,62.2,59,40.5%,165,407,0.54,2.7,6.9,1.09,2.8,61.9%,205,331,0.44,2.2,5.6,0.83,2.1,59,1.10,9543,51.3%,33,20-13,60.6%,21.9%,151,91-60,60.3%,1504,790-714,52.5%,1:55,44.9,42.6
25,Alexei Popyrin[AUS],50,28-22,56.0%,66.2%,64.4%,476,11.8%,148,3.7%,10.2%,64.1%,75.1%,50.4%,56.2%,84.5%,6.4,2.2,50,34.5%,35.1%,8.9%,4.0%,26.9%,47.2%,18.2%,6.3,2.2,37.5,57.6,50,36.1%,116,321,0.50,2.5,6.4,0.89,2.3,66.8%,197,295,0.47,2.3,5.9,0.75,2.0,50,1.02,8082,50.4%,26,12-14,46.2%,20.0%,130,71-59,54.6%,1268,649-619,51.2%,1:49,41.9,40.4
26,Alejandro Davidovich Fokina[ESP],40,18-22,45.0%,62.8%,62.4%,206,6.2%,100,3.0%,9.3%,67.6%,68.2%,51.7%,56.9%,78.9%,6.6,2.4,40,37.2%,38.7%,9.3%,3.5%,28.7%,50.4%,22.5%,6.5,2.4,55.0,72.9,40,40.4%,113,280,0.56,2.7,7.0,1.10,2.8,62.3%,177,284,0.56,2.8,7.1,1.04,2.7,40,1.00,6622,50.1%,24,7-17,29.2%,23.3%,103,49-54,47.6%,1009,512-497,50.7%,1:51,43.0,40.2
27,Felix Auger Aliassime[CAN],57,32-25,56.1%,66.3%,66.1%,463,11.0%,224,5.3%,14.3%,62.7%,75.5%,50.9%,59.3%,84.0%,6.2,2.1,57,37.3%,37.3%,6.1%,3.6%,31.1%,48.2%,21.6%,6.5,2.4,58.0,60.4,57,40.8%,144,353,0.53,2.5,6.2,1.02,2.5,63.5%,188,296,0.44,2.1,5.2,0.77,1.9,57,1.11,8546,51.6%,24,10-14,41.7%,17.0%,141,78-63,55.3%,1343,711-632,52.9%,1:39,40.2,39.8
28,Denis Shapovalov[CAN],49,26-23,53.1%,66.4%,68.4%,407,10.4%,304,7.8%,19.5%,60.2%,77.0%,50.4%,62.5%,85.3%,6.3,2.1,49,35.9%,35.5%,5.0%,3.4%,30.7%,45.8%,20.2%,6.4,2.3,51.0,73.2,49,39.1%,125,320,0.52,2.6,6.5,1.01,2.6,66.9%,184,275,0.44,2.2,5.6,0.73,1.9,49,1.07,7901,51.0%,26,11-15,42.3%,21.0%,124,68-56,54.8%,1238,653-585,52.7%,1:39,39.1,36.8
29,Brandon Nakashima[USA],50,27-23,54.0%,68.2%,65.2%,438,11.4%,57,1.5%,4.4%,66.3%,74.5%,55.9%,58.4%,88.1%,6.3,2.0,50,33.7%,34.6%,9.6%,3.7%,25.7%,46.7%,16.3%,6.4,2.1,40.0,79.0,50,33.4%,99,296,0.49,2.4,5.9,0.79,2.0,71.4%,182,255,0.42,2.0,5.1,0.58,1.5,50,1.06,7697,50.9%,27,12-15,44.4%,21.6%,125,69-56,55.2%,1219,639-580,52.4%,1:45,41.9,40.9
30,Matteo Berrettini[ITA],44,32-12,72.7%,69.8%,66.7%,422,12.9%,60,1.8%,5.9%,68.6%,78.0%,52.0%,55.2%,90.1%,6.2,1.9,44,34.9%,35.5%,6.1%,2.5%,28.7%,45.7%,19.5%,6.4,2.2,63.0,75.9,44,39.3%,103,262,0.50,2.5,6.0,0.98,2.3,72.3%,136,188,0.36,1.8,4.3,0.50,1.2,44,1.16,6651,52.1%,28,18-10,64.3%,26.7%,105,73-32,69.5%,1054,578-476,54.8%,1:53,47.5,45.0
31,Hubert Hurkacz[POL],59,40-19,67.8%,69.3%,65.4%,776,14.9%,101,1.9%,5.3%,63.2%,77.9%,54.5%,57.6%,88.7%,6.2,1.9,59,34.8%,35.5%,7.2%,2.9%,27.3%,47.8%,17.1%,6.6,2.3,49.0,76.3,59,36.6%,138,377,0.47,2.3,6.4,0.86,2.3,70.3%,222,316,0.38,2.0,5.4,0.58,1.6,59,1.13,10560,51.8%,51,29-22,56.9%,31.7%,161,100-61,62.1%,1643,878-765,53.4%,1:54,41.9,38.4
32,Alex Michelsen[USA],64,34-30,53.1%,63.4%,63.2%,288,5.7%,149,3.0%,9.2%,67.9%,69.3%,51.0%,56.1%,79.1%,6.5,2.4,64,37.1%,38.1%,9.0%,3.9%,28.7%,50.2%,22.7%,6.3,2.4,68.0,114.3,64,41.4%,173,418,0.55,2.5,6.5,1.05,2.7,60.7%,250,412,0.53,2.5,6.4,0.98,2.5,64,1.01,9871,50.5%,39,20-19,51.3%,23.6%,165,88-77,53.3%,1537,786-751,51.1%,1:49,42.3,42.4
33,Sebastian Baez[ARG],59,31-28,52.5%,60.3%,60.6%,134,2.8%,112,2.4%,8.4%,71.8%,63.7%,51.5%,56.3%,73.5%,6.7,2.7,59,39.5%,40.3%,6.5%,3.0%,32.9%,50.3%,26.4%,6.5,2.6,62.0,70.3,59,40.1%,188,469,0.66,3.1,7.9,1.24,3.2,61.4%,296,482,0.69,3.2,8.2,1.22,3.2,59,0.99,9337,50.0%,16,9-7,56.3%,10.5%,152,77-75,50.7%,1415,705-710,49.8%,1:43,40.0,39.1
34,Flavio Cobolli[ITA],62,35-27,56.5%,63.2%,63.1%,378,7.1%,213,4.0%,9.0%,55.2%,73.1%,50.9%,55.9%,79.9%,6.5,2.4,62,35.9%,35.9%,6.9%,3.9%,26.7%,50.4%,20.9%,6.3,2.3,41.5,68.2,62,40.0%,170,425,0.52,2.5,6.9,1.01,2.7,65.0%,303,466,0.57,2.8,7.5,0.96,2.6,62,0.97,10434,49.8%,33,14-19,42.4%,19.5%,169,87-82,51.5%,1626,819-807,50.4%,1:54,41.9,40.7
35,Tallon Griekspoor[NED],63,33-30,52.4%,67.2%,66.1%,577,11.1%,210,4.1%,11.3%,64.1%,75.3%,52.8%,59.5%,84.7%,6.3,2.0,63,32.0%,33.2%,9.9%,3.1%,25.3%,44.5%,14.3%,6.2,2.0,43.0,57.6,63,37.1%,118,318,0.39,1.9,5.0,0.70,1.9,62.8%,214,341,0.41,2.0,5.4,0.76,2.0,63,0.98,10252,49.8%,47,25-22,53.2%,28.0%,168,87-81,51.8%,1652,819-833,49.6%,1:45,39.3,38.7
36,Giovanni Mpetshi Perricard[FRA],28,16-12,57.1%,70.2%,67.3%,532,21.8%,153,6.3%,17.8%,64.7%,79.7%,52.8%,64.2%,88.8%,6.2,1.8,28,28.1%,28.4%,8.8%,3.0%,22.8%,37.4%,10.3%,6.1,1.7,44.0,70.0,28,40.6%,39,96,0.25,1.3,3.4,0.52,1.4,68.8%,97,141,0.36,1.9,5.0,0.59,1.6,28,0.94,4738,49.7%,26,15-11,57.7%,34.7%,75,40-35,53.3%,774,389-385,50.3%,1:41,37.8,35.9
37,Matteo Arnaldi[ITA],53,28-25,52.8%,61.6%,60.7%,387,8.4%,176,3.8%,8.9%,56.7%,71.0%,49.4%,54.2%,76.8%,6.6,2.5,53,37.4%,37.6%,4.7%,2.7%,31.2%,48.0%,23.2%,6.6,2.5,49.0,66.4,53,40.0%,158,395,0.58,2.8,7.5,1.13,3.0,60.6%,246,406,0.59,2.9,7.7,1.14,3.0,53,0.98,9084,49.7%,29,16-13,55.2%,20.7%,140,74-66,52.9%,1373,689-684,50.2%,1:54,43.3,40.1
38,Jiri Lehecka[CZE],49,30-19,61.2%,66.3%,64.7%,396,10.9%,125,3.4%,9.0%,61.7%,75.5%,51.5%,56.6%,84.0%,6.3,2.1,49,34.9%,35.8%,8.0%,3.0%,28.0%,46.3%,18.4%,6.3,2.2,52.0,75.3,49,35.8%,107,299,0.51,2.5,6.1,0.91,2.2,67.3%,191,284,0.49,2.4,5.8,0.79,1.9,49,1.04,7282,50.6%,20,13-7,65.0%,16.9%,118,68-50,57.6%,1162,594-568,51.1%,1:46,44.2,42.9
39,Alexandre Muller[FRA],37,17-20,45.9%,61.5%,61.3%,130,4.5%,70,2.4%,6.8%,64.5%,67.8%,50.1%,53.8%,75.2%,6.5,2.5,37,37.9%,39.3%,9.7%,4.0%,27.4%,53.4%,23.7%,6.5,2.5,67.0,109.1,37,39.6%,106,268,0.60,3.0,7.2,1.18,2.9,57.1%,148,259,0.58,2.9,7.0,1.23,3.0,37,0.99,5782,49.7%,20,11-9,55.0%,22.2%,90,42-48,46.7%,894,442-452,49.4%,1:47,43.8,40.9
40,Nuno Borges[POR],49,24-25,49.0%,62.6%,62.1%,279,7.1%,142,3.6%,9.6%,62.6%,70.4%,49.5%,54.7%,75.6%,6.5,2.4,49,37.7%,37.7%,6.4%,3.9%,28.5%,52.7%,20.8%,6.7,2.5,65.0,85.1,49,38.0%,126,332,0.55,2.7,6.8,1.01,2.6,58.2%,205,352,0.58,2.8,7.2,1.18,3.0,49,1.01,8035,49.9%,30,16-14,53.3%,24.0%,125,59-66,47.2%,1209,581-628,48.1%,1:52,43.7,40.8
41,Jordan Thompson[AUS],59,35-24,59.3%,64.9%,62.5%,404,9.0%,72,1.6%,4.0%,60.1%,72.7%,53.1%,55.3%,80.8%,6.3,2.2,59,36.3%,36.1%,6.6%,4.0%,29.3%,48.2%,19.6%,6.4,2.3,49.0,99.4,59,36.4%,141,387,0.54,2.6,6.6,0.95,2.4,65.9%,265,402,0.56,2.7,6.8,0.92,2.3,59,1.03,9099,50.5%,24,18-6,75.0%,16.1%,149,83-66,55.7%,1432,717-715,50.1%,2:03,48.6,47.8
42,Alejandro Tabilo[CHI],59,32-27,54.2%,65.6%,64.0%,470,10.0%,147,3.1%,8.7%,64.3%,74.8%,49.0%,53.6%,83.7%,6.4,2.2,59,35.3%,36.7%,11.1%,4.2%,26.6%,50.4%,18.7%,6.4,2.3,58.0,66.7,59,38.7%,136,351,0.48,2.3,5.9,0.91,2.3,66.1%,234,354,0.48,2.4,6.0,0.80,2.0,59,1.03,9370,50.6%,31,15-16,48.4%,20.7%,150,80-70,53.3%,1463,752-711,51.4%,1:47,42.1,40.5
43,Gael Monfils[FRA],46,25-21,54.3%,64.8%,64.1%,410,10.8%,188,4.9%,12.4%,60.3%,73.8%,51.2%,58.5%,81.6%,6.3,2.2,46,35.3%,35.0%,4.5%,2.9%,30.2%,43.7%,19.8%,6.2,2.2,34.0,54.4,46,38.3%,118,308,0.52,2.5,6.7,0.96,2.6,61.5%,177,288,0.48,2.3,6.3,0.90,2.4,46,1.00,7534,50.2%,23,14-9,60.9%,18.7%,123,65-58,52.8%,1200,610-590,50.8%,1:49,40.8,39.9
44,Lorenzo Sonego[ITA],49,20-29,40.8%,66.4%,65.1%,317,8.4%,95,2.5%,7.7%,67.4%,73.6%,51.6%,55.9%,83.9%,6.2,2.1,49,32.4%,32.1%,4.9%,2.7%,26.3%,43.3%,13.6%,6.2,2.0,45.5,80.1,49,32.4%,84,259,0.42,2.1,5.3,0.68,1.7,63.0%,167,265,0.43,2.2,5.4,0.80,2.0,49,0.96,7641,49.2%,26,13-13,50.0%,21.1%,123,54-69,43.9%,1227,596-631,48.6%,1:54,45.6,44.1
45,Marcos Giron[USA],53,27-26,50.9%,64.3%,63.1%,263,6.5%,72,1.8%,4.5%,60.3%,73.1%,51.1%,53.5%,81.0%,6.3,2.3,53,35.9%,36.8%,8.4%,3.5%,28.0%,48.6%,19.6%,6.4,2.3,57.0,73.4,53,36.9%,127,344,0.53,2.6,6.5,0.95,2.4,60.0%,183,305,0.48,2.3,5.8,0.92,2.3,53,1.01,8196,50.0%,22,12-10,54.5%,16.5%,133,70-63,52.6%,1290,646-644,50.1%,1:42,40.8,39.7
46,Luciano Darderi[ITA],50,24-26,48.0%,62.4%,61.5%,281,7.1%,122,3.1%,7.4%,58.5%,70.4%,51.1%,55.2%,77.8%,6.6,2.5,50,36.6%,37.6%,9.1%,3.8%,28.4%,50.5%,21.3%,6.4,2.3,51.0,71.2,50,39.1%,126,322,0.54,2.6,6.4,1.02,2.5,62.0%,217,350,0.58,2.8,7.0,1.08,2.7,50,0.97,7773,49.7%,27,16-11,59.3%,22.0%,123,57-66,46.3%,1191,592-599,49.7%,1:45,42.8,40.7
47,Miomir Kecmanovic[SRB],55,25-30,45.5%,63.9%,63.5%,243,5.6%,113,2.6%,6.8%,61.8%,70.8%,52.7%,56.5%,78.7%,6.2,2.3,55,35.9%,37.1%,9.1%,3.5%,27.0%,51.0%,19.9%,6.5,2.3,52.0,69.4,55,37.3%,138,370,0.53,2.5,6.7,0.95,2.5,55.2%,182,330,0.48,2.3,6.0,1.01,2.7,55,0.99,8807,49.7%,29,9-20,31.0%,19.9%,146,67-79,45.9%,1388,684-704,49.3%,1:50,41.3,41.1
48,David Goffin[BEL],33,17-16,51.5%,60.3%,60.2%,170,6.2%,108,3.9%,9.7%,59.4%,69.1%,47.4%,52.5%,73.1%,6.7,2.6,33,38.9%,40.4%,8.2%,3.1%,30.8%,51.1%,26.0%,6.4,2.5,48.0,56.9,33,39.2%,109,278,0.66,3.2,8.4,1.24,3.3,58.6%,157,268,0.65,3.0,8.1,1.26,3.4,33,0.98,5434,49.7%,11,4-7,36.4%,12.5%,88,42-46,47.7%,833,411-422,49.3%,1:48,40.4,39.3
49,Pedro Martinez[ESP],41,18-23,43.9%,59.7%,61.8%,95,2.9%,166,5.0%,16.1%,68.7%,65.7%,46.7%,55.6%,72.3%,6.5,2.6,41,38.0%,39.8%,9.7%,3.4%,29.0%,52.4%,22.4%,6.5,2.5,54.0,76.7,41,38.6%,113,293,0.58,2.8,7.1,1.08,2.8,56.9%,185,325,0.64,3.1,7.9,1.33,3.4,41,0.94,6551,48.9%,15,8-7,53.3%,14.3%,105,45-60,42.9%,1009,478-531,47.4%,1:55,44.9,43.2
